This file was created by CODIAN@move
Mittwoch, 22. August 2007		22:17

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	500
No. of Steps:	501
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
88.30	64.80	18.60	1435	543	1448	1.00921
88.30	64.80	18.50	1490	543	1504	1.00921
88.30	64.80	18.40	1517	541	1537	1.01294
88.30	64.80	18.30	1561	544	1572	1.00735
88.30	64.80	18.20	1607	544	1619	1.00735
88.30	64.80	18.10	1662	543	1677	1.00921
88.30	64.80	18.00	1710	542	1729	1.01107
88.30	64.80	17.90	1763	543	1779	1.00921
88.30	64.80	17.80	1821	542	1841	1.01107
88.30	64.80	17.70	1897	543	1914	1.00921
88.30	64.80	17.60	1934	542	1955	1.01107
88.30	64.80	17.50	1988	541	2014	1.01294
88.30	64.80	17.40	2026	542	2048	1.01107
88.30	64.80	17.30	2054	541	2081	1.01294
88.30	64.80	17.20	2082	540	2113	1.01481
88.30	64.80	17.10	2060	542	2083	1.01107
88.30	64.80	17.00	2027	545	2038	1.00550
88.30	64.80	16.90	1975	542	1997	1.01107
88.30	64.80	16.80	1895	538	1930	1.01859
88.30	64.80	16.70	1830	539	1861	1.01670
88.30	64.80	16.60	1729	541	1751	1.01294
88.30	64.80	16.50	1602	541	1623	1.01294
88.30	64.80	16.40	1464	542	1480	1.01107
88.30	64.80	16.30	1315	544	1325	1.00735
88.30	64.80	16.20	1166	543	1177	1.00921
88.30	64.80	16.10	1016	541	1029	1.01294
88.30	64.80	16.00	873	546	876	1.00366
88.30	64.80	15.90	728	546	731	1.00366
88.30	64.80	15.80	600	540	609	1.01481
88.30	64.80	15.70	487	542	492	1.01107
88.30	64.80	15.60	384	542	388	1.01107
88.30	64.80	15.50	297	544	299	1.00735
88.30	64.80	15.40	225	543	227	1.00921
88.30	64.80	15.30	165	539	168	1.01670
88.30	64.80	15.20	118	542	119	1.01107
88.30	64.80	15.10	81	539	82	1.01670
88.30	64.80	15.00	53	543	53	1.00921
88.30	64.80	14.90	32	542	32	1.01107
88.30	64.80	14.80	17	544	17	1.00735
88.30	64.80	14.70	6	541	6	1.01294
88.30	64.80	14.60	0	538	0	1.01859
88.30	64.80	14.50	0	542	0	1.01107
88.30	64.80	14.40	5	539	5	1.01670
88.30	64.80	14.30	7	542	7	1.01107
88.30	64.80	14.20	8	537	8	1.02048
88.30	64.80	14.10	8	544	8	1.00735
88.30	64.80	14.00	9	543	9	1.00921
88.30	64.80	13.90	9	539	9	1.01670
88.30	64.80	13.80	9	537	9	1.02048
88.30	64.80	13.70	9	540	9	1.01481
88.30	64.80	13.60	9	544	9	1.00735
88.30	64.80	13.50	9	543	9	1.00921
88.30	64.80	13.40	9	541	9	1.01294
88.30	64.80	13.30	9	539	9	1.01670
88.30	64.80	13.20	10	537	10	1.02048
88.30	64.80	13.10	10	544	10	1.00735
88.30	64.80	13.00	10	541	10	1.01294
88.30	64.80	12.90	10	543	10	1.00921
